dataset,pairwise_file,zeroshot_file,pairwise_prompt_accuracy,direct_to_pairwise_accuracy,n_pairs_total_after_join,n_pairs_used_pairwise_prompt,n_pairs_used_direct_to_pairwise,tie_policy
appceleratorstudio,../Result/pairwise_zeroshot/appceleratorstudio_pairwise_zeroshot.csv,../Result/zeroshot/appceleratorstudio_ds3.2_zeroshot_v6.csv,0.6206536856745479,0.7547277936962751,2876,2876,1745,drop
aptanastudio,../Result/pairwise_zeroshot/aptanastudio_pairwise_zeroshot.csv,../Result/zeroshot/aptanastudio_ds3.2_zeroshot_v6.csv,0.556420233463035,0.657563025210084,771,771,476,drop
bamboo,../Result/pairwise_zeroshot/bamboo_pairwise_zeroshot.csv,../Result/zeroshot/bamboo_ds3.2_zeroshot_v6.csv,0.6176470588235294,0.75,374,374,244,drop
clover,../Result/pairwise_zeroshot/clover_pairwise_zeroshot.csv,../Result/zeroshot/clover_ds3.2_zeroshot_v6.csv,0.7340720221606648,0.8377192982456141,361,361,228,drop
datamanagement,../Result/pairwise_zeroshot/datamanagement_pairwise_zeroshot.csv,../Result/zeroshot/datamanagement_ds3.2_zeroshot_v6.csv,0.5946215139442231,0.7642571739920088,4016,4016,2753,drop
duracloud,../Result/pairwise_zeroshot/duracloud_pairwise_zeroshot.csv,../Result/zeroshot/duracloud_ds3.2_zeroshot_v6.csv,0.734094616639478,0.8514588859416445,613,613,377,drop
jirasoftware_filtered,../Result/pairwise_zeroshot/jirasoftware_filtered_pairwise_zeroshot.csv,../Result/zeroshot/jirasoftware_filtered_ds3.2_zeroshot_v6.csv,0.646551724137931,0.7557251908396947,232,232,131,drop
mesos,../Result/pairwise_zeroshot/mesos_pairwise_zeroshot.csv,../Result/zeroshot/mesos_ds3.2_zeroshot_v6.csv,0.6549295774647887,0.7766069546891464,1562,1562,949,drop
moodle,../Result/pairwise_zeroshot/moodle_pairwise_zeroshot.csv,../Result/zeroshot/moodle_ds3.2_zeroshot_v6.csv,0.6243567753001715,0.7356948228882834,1166,1166,734,drop
mule,../Result/pairwise_zeroshot/mule_pairwise_zeroshot.csv,../Result/zeroshot/mule_ds3.2_zeroshot_v6.csv,0.6231721034870641,0.7749546279491834,889,889,551,drop
mulestudio,../Result/pairwise_zeroshot/mulestudio_pairwise_zeroshot.csv,../Result/zeroshot/mulestudio_ds3.2_zeroshot_v6.csv,0.5901639344262295,0.6494382022471911,732,732,445,drop
springxd,../Result/pairwise_zeroshot/springxd_pairwise_zeroshot.csv,../Result/zeroshot/springxd_ds3.2_zeroshot_v6.csv,0.6625204582651392,0.7646076794657763,3055,3055,1797,drop
talenddataquality,../Result/pairwise_zeroshot/talenddataquality_pairwise_zeroshot.csv,../Result/zeroshot/talenddataquality_ds3.2_zeroshot_v6.csv,0.5413732394366197,0.6852646638054364,1136,1136,699,drop
talendesb,../Result/pairwise_zeroshot/talendesb_pairwise_zeroshot.csv,../Result/zeroshot/talendesb_ds3.2_zeroshot_v6.csv,0.6967741935483871,0.7830374753451677,775,775,507,drop
titanium,../Result/pairwise_zeroshot/titanium_pairwise_zeroshot.csv,../Result/zeroshot/titanium_ds3.2_zeroshot_v6.csv,0.589066918001885,0.7132921174652241,2122,2122,1294,drop
usergrid,../Result/pairwise_zeroshot/usergrid_pairwise_zeroshot.csv,../Result/zeroshot/usergrid_ds3.2_zeroshot_v6.csv,0.6036036036036037,0.6284403669724771,333,333,218,drop
