issue_key,title,description,true_story_points,predicted_story_points,model_used,response_time,reasoning,retry_count,prediction_error,within_1_point,within_2_points,timestamp
JSW-6992,Align project creation dialog to JIRA style There are some differences in our project creation dialog to the JIRA one. Remove Project from Name and Key field labels Standardise on field descriptions for Name and Key (maximum length) Enforce maximum lengths on those fields,,1,5.0,gemini,9.18990707397461,5,,4.0,False,False,2025-09-03T01:49:52.495664
JSW-7043,"GH code fixes required for latest 6.0-breakit version In 6.0-breakit-SNAPSHOT since Jan 3rd, last unaffected version is 6.0-m04, ActionUtil, ActionNames, possibly ActionDispatcher and other related code has been removed. GreenHopper uses this code in classic board fields to update field values, e.g. set the assignee, component, version etc. To fix it, we ll have to replace all update code to use proper JIRA api. See the deprecated messages in ActionNames on what to replace the code with.",,5,8.0,gemini,12.884166240692139,Story Points: 8,,3.0,False,False,2025-09-03T01:49:52.495669
JSW-7159,"As Patrick, I want to see list of versions when I m looking at the backlog Considered versions: - versions which are BOTH: -- part of projects included in the board, AND -- unreleased -- not archived Ordering: - version sequence for versions within the same project (oldest first) - overall projects are ordered by project name Display: - version name along with project key (name on mouse hover) -- version name wraps around project key, if one or both are long - if the board only has one project, omit project name If there are no release versions you get an empty column. In the filters story we ll add an all releases button so it doesn t look so empty. (!) Development Notes (!) Q: What if there are duplicate version names? A: They look the same. Q: What if the version names are long? A: They wrap. Q: What if a version has been renamed deleted in the system? A: It doesn t show up (archived versions dont show up). Q: When reordering versions, are they bound to their container? A: The order...",,5,5.0,gemini,13.974765062332153,Story Points: 5,,0.0,True,True,2025-09-03T01:49:52.495671
JSW-7160,"As Patrick, I want to be able to see more details about the version when looking at the Versions Panel - this refers to the version panel - the behaviour should mimic the epic panel, including the twixies - information needed: description, start date, release date as well as count of total, completed and unestimated stories, total estimate units, small progress bar (startDate is not part of the progress calculation) - for empty data (release date, start date) reuse the same approach as we use on the detail view",,5,8.0,gemini,16.104750871658325,Story Points: 8,,3.0,False,False,2025-09-03T01:49:52.495673
JSW-7161,"As Patrick, I want to be able to create a new version Dialog is shown fields we need to populate: Project, Name, Description, Release Date Single Select (with autocomplete aka Frother) Control for project selection Description field - text field Apply sensible length limits to these input fields (check what limits JIRA has in place if any or just enforce a limit of 255 chars on the front end) create version affordance is only displayed if the user has project admin permissions to at least one project (it is the same as can manage sprint logic) Analytics to track usage of dialog Also capture length of version names (!) Development Notes (!) Q: XSS safe? A: ( ) yes Q: What if the version name already exists? A: ( ) We show an error message",,3,8.0,gemini,12.565277814865112,Story Points: 8,,5.0,False,False,2025-09-03T01:49:52.495674
JSW-7162,"As Patrick, I want to be able to delete a version - allow for a version to be deleted - warn if other issues are assigned to it already - what permissions do we need for that action (TODO: team input here)",,3,8.0,gemini,10.074764013290405,Story Points: 8,,5.0,False,False,2025-09-03T01:49:52.495675
JSW-7163,"As Patrick, I want to be able to edit details of a version https: extranet.atlassian.com display GHDEV GHS-7163 Versions Inline Edit",,5,5.0,gemini,14.184607982635498,Story Points: 5,,0.0,True,True,2025-09-03T01:49:52.495677
JSW-7164,"As Patrick, I want to choose a colour for a version so I can identify it easier in the backlog - the general idea is for this to mimic the epic functionality",,5,5.0,gemini,8.752250909805298,Story Points: 5,,0.0,True,True,2025-09-03T01:49:52.495679
JSW-7165,"As Patrick, I want to assign issues to a version - permissions - only one version can be associated with an issue (using this feature): fixVersion is replaced - can assign multiple issues to a single version easily - what happens when multiple issues from multiple projects are dragged? -- don t allow drop on version panel -- possibly explore additional message or change cursor - what happens when an issue from PROJA is dropped onto PROJB? -- don t allow drop on version panel -- show message - able to drag issues from active sprints or future sprints or backlog -- refer to comments below re: dialog when destructively updating Note: IE8 experience may not be as good due to bad drag and drop performance consider messaging for invalid drop targets (!) Development Notes (!) Q: What if the version list is stale and a version doesn t exist anymore was archived? A: ( ) We show a Issue doesn t exist message and we reload the issues list Q: What if an issue was converted to a subtask or epic? A:...",,3,5.0,gemini,17.801005125045776,"Based on the analysis framework and estimation guidelines:

**- What is the core functionality being implemented?**
The core functionality is to enable users (Patrick) to assign multiple issues to a single `fixVersion` via a drag-and-drop interface, replacing any existing `fixVersion` on those issues. This also includes comprehensive handling of permissions, various invalid drop scenarios (e.g., multiple projects, cross-project, dropping on non-existent versions), and displaying appropriate user messages.

**- How many different components/systems need to be modified?**
*   **Frontend UI:** Implementing a robust drag-and-drop mechanism for issues, handling multiple selections, providing visual cues for valid/invalid drop targets, and displaying various error/confirmation messages. This includes managing interactions with issue lists, sprint boards, and the backlog.
*   **Backend API:** Developing/modifying an API endpoint to handle bulk updates of `fixVersion`, performing permission checks, validating version existence, and ensuring issues are valid for the operation (e.g., not subtasks/epics if excluded).
*   **Business Logic:** Complex logic to manage the ""fixVersion is replaced"" behavior, handle permissions, validate issues and versions in various states, and manage cross-project concerns.
*   **Data Storage:** Updating issue records to reflect the new `fixVersion`.

**- What is the testing complexity?**
The testing complexity is high due to the interactive nature of drag-and-drop and the extensive list of explicit edge cases and negative scenarios that must be handled gracefully:
*   Positive tests for single and multiple issue assignments.
*   Permissions testing.
*   Testing issues from active sprints, future sprints, and backlog.
*   Negative tests for dropping multiple issues from multiple projects.
*   Negative tests for dropping issues from PROJA onto PROJB.
*   Negative tests for dropping onto invalid or non-existent (stale/archived) versions.
*   Testing behavior for issues converted to subtasks or epics.
*   UI/UX testing for messaging, cursor changes, and destructive update dialogs.
*   Cross-browser compatibility (IE8 mentioned, indicating a history of browser concerns).

**- Are there any integration challenges or dependencies?**
*   Deep integration with existing issue management, version management, and project management systems.
*   Integration with the application's permission system.
*   Potential interaction with existing dialogs for ""destructively updating"" issues.

**- What is the documentation and deployment effort?**
*   User documentation for the new feature, including behavior in various valid and invalid scenarios.
*   Developer documentation for the new API and frontend components.
*   Standard deployment effort for a new major feature.

**Conclusion:**
This backlog item involves implementing a significant new interactive feature (drag-and-drop for bulk `fixVersion` updates) for a core system functionality. It requires changes across the UI, backend, and business logic layers. The most significant factor driving the estimate is the explicit requirement to handle a large number of complex edge cases, permissions, and invalid scenarios, which demands robust implementation and extensive testing. This goes beyond a ""medium"" (5 points) or typically ""complex"" (8 points) task and leans into ""major feature development"" territory, considering the thoroughness required for all the specified ""what happens when..."" scenarios.

Story Points: 13",,2.0,False,True,2025-09-03T01:49:52.495682
JSW-7166,"As Patrick, I want to see the version assigned to an issue in the list view so I can quickly identify which issues belong to which versions Estimate column spacing still honoured If there is no epic associated, version lozenge will be right-justified next to estimate All version lozenges use the same colour, which is not a colour available to epics Truncation assessed by the width (similar to epic lozenges) What happens when an issue is associated with multiple fix versions through JIRA? Show somehow that there s more than one version on the lozenge The primary version is the first unreleased version in the sequence Released versions are displayed Archived versions are not (!) Development Notes (!) Q: What if the version name is very long? A: it s truncated (via CSS - martin to review) Q: Shouldn t the primary version in a multi-version be the soonest version, rather than the alphabetical one? A: (x) it s currently ordered alphabetically, please talk to Tokes Tom if you think it should...",,2,8.0,gemini,14.32321310043335,8,,6.0,False,False,2025-09-03T01:49:52.495683
