dataset,model,n,accuracy_vs_ground_truth
appceleratorstudio_pairwise,openai,2919,0.6653
appceleratorstudio_pairwise,gemini,2919,0.5642
aptanastudio_pairwise,openai,829,0.6429
aptanastudio_pairwise,gemini,829,0.5875
bamboo_pairwise,openai,521,0.5873
bamboo_pairwise,gemini,521,0.5509
clover_pairwise,openai,384,0.651
clover_pairwise,gemini,384,0.6094
datamanagement_pairwise,openai,4667,0.6222
datamanagement_pairwise,gemini,4667,0.5858
duracloud_pairwise,openai,648,0.7299
duracloud_pairwise,gemini,648,0.6574
jirasoftware_filtered_pairwise,openai,284,0.7113
jirasoftware_filtered_pairwise,gemini,284,0.6373
mesos_pairwise,openai,1680,0.6792
mesos_pairwise,gemini,1680,0.5804
moodle_pairwise,openai,1166,0.669
moodle_pairwise,gemini,1166,0.6312
mule_pairwise,openai,889,0.6524
mule_pairwise,gemini,889,0.5399
mulestudio_pairwise,openai,732,0.6598
mulestudio_pairwise,gemini,732,0.6161
springxd_pairwise,openai,3526,0.686
springxd_pairwise,gemini,3526,0.5729
talenddataquality_pairwise,openai,1381,0.6104
talenddataquality_pairwise,gemini,1055,0.5592
talendesb_pairwise,openai,868,0.6982
talendesb_pairwise,gemini,868,0.5484
titanium_pairwise,openai,2251,0.5731
titanium_pairwise,gemini,2251,0.5096
usergrid_pairwise,openai,471,0.69
usergrid_pairwise,gemini,471,0.6369
