model,method,true_class,predicted_class,count
openai,zero_shot,story_b_more_complex,story_b_more_complex,2
openai,zero_shot,story_b_more_complex,equal_complexity,0
openai,zero_shot,story_b_more_complex,story_a_more_complex,7
openai,zero_shot,equal_complexity,story_b_more_complex,0
openai,zero_shot,equal_complexity,equal_complexity,1
openai,zero_shot,equal_complexity,story_a_more_complex,1
openai,zero_shot,story_a_more_complex,story_b_more_complex,1
openai,zero_shot,story_a_more_complex,equal_complexity,1
openai,zero_shot,story_a_more_complex,story_a_more_complex,7
openai,few_shot,story_b_more_complex,story_b_more_complex,6
openai,few_shot,story_b_more_complex,equal_complexity,0
openai,few_shot,story_b_more_complex,story_a_more_complex,3
openai,few_shot,equal_complexity,story_b_more_complex,1
openai,few_shot,equal_complexity,equal_complexity,1
openai,few_shot,equal_complexity,story_a_more_complex,0
openai,few_shot,story_a_more_complex,story_b_more_complex,1
openai,few_shot,story_a_more_complex,equal_complexity,0
openai,few_shot,story_a_more_complex,story_a_more_complex,8
