issuekey_A,issuekey_B,f_A,f_B,P_AB,GT_A,GT_B,GT_AB,status,dataset
TISTUD-62,MDL-43870,1.0,3.0,-1.0,1.0,20.0,-1.0,valid,appceleratorstudio
TISTUD-64,XD-3584,5.0,5.0,0.0,1.0,2.0,-1.0,tie,appceleratorstudio
TISTUD-65,MULE-8753,5.0,3.0,1.0,1.0,5.0,-1.0,valid,appceleratorstudio
TISTUD-66,CLOV-1492,3.0,5.0,-1.0,1.0,3.0,-1.0,valid,appceleratorstudio
TISTUD-67,XD-2691,3.0,5.0,-1.0,1.0,5.0,-1.0,valid,appceleratorstudio
TISTUD-68,XD-1867,3.0,5.0,-1.0,1.0,6.0,-1.0,valid,appceleratorstudio
TISTUD-69,MESOS-2051,3.0,3.0,0.0,1.0,2.0,-1.0,tie,appceleratorstudio
TISTUD-71,STUDIO-2678,13.0,5.0,1.0,1.0,8.0,-1.0,valid,appceleratorstudio
TISTUD-72,TIMOB-17565,5.0,3.0,1.0,1.0,3.0,-1.0,valid,appceleratorstudio
TISTUD-73,DM-5072,3.0,2.0,1.0,1.0,2.0,-1.0,valid,appceleratorstudio
TISTUD-85,DM-1295,5.0,5.0,0.0,1.0,8.0,-1.0,tie,appceleratorstudio
TISTUD-86,DM-5954,5.0,2.0,1.0,1.0,4.0,-1.0,valid,appceleratorstudio
TISTUD-87,DM-259,3.0,8.0,-1.0,1.0,2.0,-1.0,valid,appceleratorstudio
TISTUD-101,TDQ-3769,3.0,3.0,0.0,1.0,5.0,-1.0,tie,appceleratorstudio
TISTUD-106,DM-4265,13.0,5.0,1.0,1.0,16.0,-1.0,valid,appceleratorstudio
TISTUD-112,TIMOB-20095,2.0,8.0,-1.0,1.0,13.0,-1.0,valid,appceleratorstudio
TISTUD-115,DM-5907,2.0,8.0,-1.0,1.0,9.0,-1.0,valid,appceleratorstudio
TISTUD-121,MDL-39955,8.0,5.0,1.0,13.0,20.0,-1.0,valid,appceleratorstudio
TISTUD-123,MDL-42004,2.0,3.0,-1.0,1.0,5.0,-1.0,valid,appceleratorstudio
TISTUD-124,TIMOB-23518,5.0,5.0,0.0,1.0,13.0,-1.0,tie,appceleratorstudio
TISTUD-125,TIMOB-17627,2.0,3.0,-1.0,1.0,13.0,-1.0,valid,appceleratorstudio
TISTUD-127,MULE-7836,3.0,2.0,1.0,1.0,2.0,-1.0,valid,appceleratorstudio
TISTUD-130,XD-2174,1.0,5.0,-1.0,1.0,3.0,-1.0,valid,appceleratorstudio
TISTUD-131,TIMOB-20164,1.0,3.0,-1.0,1.0,8.0,-1.0,valid,appceleratorstudio
TISTUD-136,TDQ-8189,3.0,3.0,0.0,1.0,8.0,-1.0,tie,appceleratorstudio
TISTUD-138,TDQ-6411,3.0,5.0,-1.0,1.0,8.0,-1.0,valid,appceleratorstudio
TISTUD-139,DURACLOUD-640,2.0,3.0,-1.0,1.0,2.0,-1.0,valid,appceleratorstudio
TISTUD-140,TESB-10661,5.0,8.0,-1.0,1.0,3.0,-1.0,valid,appceleratorstudio
TISTUD-141,XD-1780,5.0,3.0,1.0,1.0,10.0,-1.0,valid,appceleratorstudio
TISTUD-143,DURACLOUD-972,2.0,3.0,-1.0,1.0,3.0,-1.0,valid,appceleratorstudio
TISTUD-144,DM-1778,3.0,3.0,0.0,1.0,2.0,-1.0,tie,appceleratorstudio
TISTUD-166,TIMOB-20405,3.0,3.0,0.0,1.0,3.0,-1.0,tie,appceleratorstudio
TISTUD-167,XD-651,2.0,5.0,-1.0,1.0,5.0,-1.0,valid,appceleratorstudio
TISTUD-174,DM-6651,2.0,5.0,-1.0,1.0,2.0,-1.0,valid,appceleratorstudio
TISTUD-176,TDQ-10182,3.0,3.0,0.0,8.0,20.0,-1.0,tie,appceleratorstudio
TISTUD-178,MDL-39850,5.0,3.0,1.0,1.0,5.0,-1.0,valid,appceleratorstudio
TISTUD-184,TIMOB-23195,5.0,3.0,1.0,1.0,3.0,-1.0,valid,appceleratorstudio
TISTUD-195,XD-1167,5.0,5.0,0.0,1.0,2.0,-1.0,tie,appceleratorstudio
TISTUD-200,DM-1328,5.0,2.0,1.0,20.0,6.0,1.0,valid,appceleratorstudio
TISTUD-201,MESOS-5561,8.0,5.0,1.0,1.0,2.0,-1.0,valid,appceleratorstudio
TISTUD-204,JSW-3017,5.0,5.0,0.0,1.0,5.0,-1.0,tie,appceleratorstudio
TISTUD-209,DM-1237,2.0,2.0,0.0,1.0,8.0,-1.0,tie,appceleratorstudio
TISTUD-212,STUDIO-5576,5.0,3.0,1.0,1.0,5.0,-1.0,valid,appceleratorstudio
TISTUD-213,MULE-7162,3.0,8.0,-1.0,1.0,5.0,-1.0,valid,appceleratorstudio
TISTUD-215,XD-160,5.0,5.0,0.0,1.0,3.0,-1.0,tie,appceleratorstudio
TISTUD-216,TIMOB-20250,3.0,3.0,0.0,1.0,5.0,-1.0,tie,appceleratorstudio
TISTUD-232,MESOS-3994,5.0,5.0,0.0,13.0,3.0,1.0,tie,appceleratorstudio
TISTUD-234,MDL-43854,3.0,3.0,0.0,1.0,2.0,-1.0,tie,appceleratorstudio
TISTUD-253,XD-2027,3.0,2.0,1.0,1.0,2.0,-1.0,valid,appceleratorstudio
TISTUD-255,DM-6738,2.0,5.0,-1.0,1.0,2.0,-1.0,valid,appceleratorstudio
TISTUD-260,TIMOB-19725,2.0,3.0,-1.0,1.0,3.0,-1.0,valid,appceleratorstudio
TISTUD-267,DM-2272,1.0,5.0,-1.0,1.0,6.0,-1.0,valid,appceleratorstudio
TISTUD-268,TDQ-10641,5.0,3.0,1.0,1.0,13.0,-1.0,valid,appceleratorstudio
TISTUD-273,DM-903,3.0,3.0,0.0,8.0,1.0,1.0,tie,appceleratorstudio
TISTUD-280,TESB-3,5.0,5.0,0.0,1.0,5.0,-1.0,tie,appceleratorstudio
TISTUD-285,DM-1240,3.0,8.0,-1.0,1.0,6.0,-1.0,valid,appceleratorstudio
TISTUD-288,APSTUD-4475,3.0,5.0,-1.0,1.0,3.0,-1.0,valid,appceleratorstudio
TISTUD-525,BAM-10108,2.0,8.0,-1.0,5.0,2.0,1.0,valid,appceleratorstudio
TISTUD-297,XD-2920,2.0,3.0,-1.0,1.0,2.0,-1.0,valid,appceleratorstudio
TISTUD-298,TIMOB-18310,3.0,5.0,-1.0,1.0,5.0,-1.0,valid,appceleratorstudio
TISTUD-300,MULE-7386,3.0,5.0,-1.0,1.0,5.0,-1.0,valid,appceleratorstudio
TISTUD-302,TIMOB-23452,3.0,13.0,-1.0,1.0,5.0,-1.0,valid,appceleratorstudio
TISTUD-310,MESOS-2708,5.0,3.0,1.0,1.0,2.0,-1.0,valid,appceleratorstudio
TISTUD-317,JSW-6356,5.0,5.0,0.0,1.0,2.0,-1.0,tie,appceleratorstudio
TISTUD-318,TIMOB-17687,5.0,5.0,0.0,1.0,13.0,-1.0,tie,appceleratorstudio
TISTUD-319,TIMOB-17565,5.0,3.0,1.0,1.0,3.0,-1.0,valid,appceleratorstudio
TISTUD-320,XD-496,2.0,3.0,-1.0,1.0,3.0,-1.0,valid,appceleratorstudio
TISTUD-321,TIMOB-20385,3.0,3.0,0.0,1.0,8.0,-1.0,tie,appceleratorstudio
TISTUD-322,STUDIO-5435,3.0,5.0,-1.0,1.0,5.0,-1.0,valid,appceleratorstudio
TISTUD-323,XD-978,8.0,13.0,-1.0,1.0,10.0,-1.0,valid,appceleratorstudio
TISTUD-324,MESOS-5581,5.0,5.0,0.0,1.0,3.0,-1.0,tie,appceleratorstudio
TISTUD-325,TIMOB-17480,1.0,5.0,-1.0,1.0,8.0,-1.0,valid,appceleratorstudio
TISTUD-327,XD-3397,5.0,8.0,-1.0,1.0,2.0,-1.0,valid,appceleratorstudio
TISTUD-335,MULE-7207,5.0,13.0,-1.0,1.0,8.0,-1.0,valid,appceleratorstudio
TISTUD-336,DM-7063,5.0,5.0,0.0,8.0,2.0,1.0,tie,appceleratorstudio
TISTUD-339,DM-3359,2.0,3.0,-1.0,1.0,2.0,-1.0,valid,appceleratorstudio
TISTUD-346,TDQ-6389,2.0,5.0,-1.0,1.0,8.0,-1.0,valid,appceleratorstudio
TISTUD-348,XD-525,3.0,2.0,1.0,1.0,3.0,-1.0,valid,appceleratorstudio
TISTUD-355,XD-1046,2.0,3.0,-1.0,5.0,4.0,1.0,valid,appceleratorstudio
TISTUD-357,XD-1013,2.0,3.0,-1.0,5.0,8.0,-1.0,valid,appceleratorstudio
TISTUD-358,USERGRID-462,3.0,3.0,0.0,1.0,3.0,-1.0,tie,appceleratorstudio
TISTUD-373,MDL-44478,1.0,2.0,-1.0,1.0,5.0,-1.0,valid,appceleratorstudio
TISTUD-380,XD-677,3.0,3.0,0.0,1.0,2.0,-1.0,tie,appceleratorstudio
TISTUD-383,MESOS-5132,3.0,1.0,1.0,8.0,2.0,1.0,valid,appceleratorstudio
TISTUD-415,DM-5059,3.0,8.0,-1.0,3.0,12.0,-1.0,valid,appceleratorstudio
TISTUD-400,TDQ-5905,5.0,5.0,0.0,1.0,13.0,-1.0,tie,appceleratorstudio
TISTUD-406,MESOS-5237,5.0,2.0,1.0,1.0,2.0,-1.0,valid,appceleratorstudio
TISTUD-407,XD-2937,1.0,3.0,-1.0,1.0,2.0,-1.0,valid,appceleratorstudio
TISTUD-421,XD-1688,2.0,13.0,-1.0,1.0,16.0,-1.0,valid,appceleratorstudio
TISTUD-428,STUDIO-3929,3.0,13.0,-1.0,1.0,3.0,-1.0,valid,appceleratorstudio
TISTUD-434,DM-2914,5.0,21.0,-1.0,13.0,10.0,1.0,valid,appceleratorstudio
TISTUD-448,MDL-41962,13.0,3.0,1.0,13.0,5.0,1.0,valid,appceleratorstudio
TISTUD-454,XD-717,8.0,3.0,1.0,1.0,2.0,-1.0,valid,appceleratorstudio
TISTUD-474,TDQ-5044,3.0,5.0,-1.0,1.0,13.0,-1.0,valid,appceleratorstudio
TISTUD-475,MESOS-2700,3.0,21.0,-1.0,1.0,13.0,-1.0,valid,appceleratorstudio
TISTUD-476,MDL-39933,2.0,8.0,-1.0,1.0,100.0,-1.0,valid,appceleratorstudio
TISTUD-477,APSTUD-4486,3.0,2.0,1.0,1.0,5.0,-1.0,valid,appceleratorstudio
TISTUD-478,STUDIO-5391,3.0,5.0,-1.0,1.0,3.0,-1.0,valid,appceleratorstudio
TISTUD-479,DM-6909,3.0,3.0,0.0,1.0,2.0,-1.0,tie,appceleratorstudio
TISTUD-480,XD-3364,3.0,5.0,-1.0,1.0,2.0,-1.0,valid,appceleratorstudio
TISTUD-481,DM-6937,3.0,5.0,-1.0,1.0,4.0,-1.0,valid,appceleratorstudio
TISTUD-483,MULE-7691,2.0,3.0,-1.0,8.0,3.0,1.0,valid,appceleratorstudio
TISTUD-486,USERGRID-704,3.0,5.0,-1.0,8.0,1.0,1.0,valid,appceleratorstudio
TISTUD-492,TDQ-4935,8.0,3.0,1.0,1.0,5.0,-1.0,valid,appceleratorstudio
TISTUD-499,XD-2486,1.0,5.0,-1.0,1.0,8.0,-1.0,valid,appceleratorstudio
TISTUD-501,DM-6264,13.0,8.0,1.0,13.0,1.0,1.0,valid,appceleratorstudio
TISTUD-504,TDQ-4627,3.0,1.0,1.0,8.0,2.0,1.0,valid,appceleratorstudio
TISTUD-505,MESOS-1559,2.0,3.0,-1.0,1.0,5.0,-1.0,valid,appceleratorstudio
TISTUD-506,DM-3846,3.0,1.0,1.0,1.0,2.0,-1.0,valid,appceleratorstudio
TISTUD-509,XD-3141,5.0,5.0,0.0,8.0,5.0,1.0,tie,appceleratorstudio
TISTUD-1166,XD-2030,3.0,2.0,1.0,13.0,1.0,1.0,valid,appceleratorstudio
TISTUD-518,XD-2830,5.0,3.0,1.0,1.0,2.0,-1.0,valid,appceleratorstudio
TISTUD-537,DM-5845,1.0,3.0,-1.0,1.0,2.0,-1.0,valid,appceleratorstudio
TISTUD-564,TIMOB-19154,3.0,5.0,-1.0,3.0,13.0,-1.0,valid,appceleratorstudio
TISTUD-570,MDL-46923,13.0,1.0,1.0,1.0,3.0,-1.0,valid,appceleratorstudio
TISTUD-572,MESOS-1527,21.0,8.0,1.0,1.0,3.0,-1.0,valid,appceleratorstudio
TISTUD-582,MDL-44596,3.0,5.0,-1.0,5.0,20.0,-1.0,valid,appceleratorstudio
TISTUD-584,TDQ-9946,5.0,8.0,-1.0,21.0,8.0,1.0,valid,appceleratorstudio
TISTUD-589,MESOS-3575,2.0,2.0,0.0,8.0,2.0,1.0,tie,appceleratorstudio
TISTUD-592,DM-5857,3.0,5.0,-1.0,1.0,6.0,-1.0,valid,appceleratorstudio
TISTUD-600,MDL-39873,5.0,3.0,1.0,13.0,5.0,1.0,valid,appceleratorstudio
TISTUD-623,MULE-7218,5.0,5.0,0.0,8.0,5.0,1.0,tie,appceleratorstudio
TISTUD-605,MESOS-3012,2.0,8.0,-1.0,5.0,1.0,1.0,valid,appceleratorstudio
TISTUD-651,XD-536,2.0,5.0,-1.0,1.0,4.0,-1.0,valid,appceleratorstudio
TISTUD-656,MESOS-4454,3.0,1.0,1.0,1.0,2.0,-1.0,valid,appceleratorstudio
TISTUD-675,MDL-41505,13.0,2.0,1.0,1.0,8.0,-1.0,valid,appceleratorstudio
TISTUD-687,DM-5833,1.0,8.0,-1.0,5.0,4.0,1.0,valid,appceleratorstudio
TISTUD-713,TESB-8637,3.0,8.0,-1.0,13.0,3.0,1.0,valid,appceleratorstudio
TISTUD-990,DM-2507,3.0,5.0,-1.0,8.0,4.0,1.0,valid,appceleratorstudio
TISTUD-714,DM-2396,3.0,21.0,-1.0,1.0,53.0,-1.0,valid,appceleratorstudio
TISTUD-715,DM-3179,5.0,13.0,-1.0,1.0,3.0,-1.0,valid,appceleratorstudio
TISTUD-718,APSTUD-4707,3.0,3.0,0.0,1.0,5.0,-1.0,tie,appceleratorstudio
TISTUD-734,DM-6111,1.0,3.0,-1.0,5.0,1.0,1.0,valid,appceleratorstudio
TISTUD-744,XD-294,2.0,1.0,1.0,8.0,1.0,1.0,valid,appceleratorstudio
TISTUD-746,TIMOB-18956,5.0,5.0,0.0,40.0,8.0,1.0,tie,appceleratorstudio
TISTUD-747,TIMOB-15118,5.0,5.0,0.0,20.0,8.0,1.0,tie,appceleratorstudio
TISTUD-754,XD-592,5.0,5.0,0.0,1.0,8.0,-1.0,tie,appceleratorstudio
TISTUD-755,XD-2125,8.0,8.0,0.0,1.0,8.0,-1.0,tie,appceleratorstudio
TISTUD-757,TIMOB-23612,2.0,1.0,1.0,1.0,2.0,-1.0,valid,appceleratorstudio
TISTUD-760,DURACLOUD-640,3.0,3.0,0.0,8.0,2.0,1.0,tie,appceleratorstudio
TISTUD-761,TDQ-11583,5.0,8.0,-1.0,5.0,3.0,1.0,valid,appceleratorstudio
TISTUD-764,TIMOB-12604,3.0,2.0,1.0,1.0,2.0,-1.0,valid,appceleratorstudio
TISTUD-766,XD-783,3.0,3.0,0.0,5.0,8.0,-1.0,tie,appceleratorstudio
TISTUD-769,JSW-5011,5.0,5.0,0.0,13.0,1.0,1.0,tie,appceleratorstudio
TISTUD-775,APSTUD-4444,2.0,3.0,-1.0,1.0,8.0,-1.0,valid,appceleratorstudio
TISTUD-787,CLOV-1385,13.0,8.0,1.0,34.0,5.0,1.0,valid,appceleratorstudio
TISTUD-788,XD-1050,3.0,8.0,-1.0,8.0,12.0,-1.0,valid,appceleratorstudio
TISTUD-791,MESOS-4116,3.0,3.0,0.0,3.0,2.0,1.0,tie,appceleratorstudio
TISTUD-794,TDQ-5105,3.0,3.0,0.0,20.0,8.0,1.0,tie,appceleratorstudio
TISTUD-804,TESB-11441,2.0,5.0,-1.0,1.0,2.0,-1.0,valid,appceleratorstudio
TISTUD-806,DM-2510,3.0,5.0,-1.0,8.0,10.0,-1.0,valid,appceleratorstudio
TISTUD-809,XD-2613,3.0,3.0,0.0,1.0,2.0,-1.0,tie,appceleratorstudio
TISTUD-810,TDQ-5279,2.0,3.0,-1.0,1.0,8.0,-1.0,valid,appceleratorstudio
TISTUD-811,TDQ-9894,5.0,8.0,-1.0,13.0,8.0,1.0,valid,appceleratorstudio
TISTUD-818,TDQ-11339,2.0,3.0,-1.0,8.0,2.0,1.0,valid,appceleratorstudio
TISTUD-820,DM-4040,2.0,5.0,-1.0,8.0,1.0,1.0,valid,appceleratorstudio
TISTUD-822,XD-1271,3.0,8.0,-1.0,1.0,3.0,-1.0,valid,appceleratorstudio
TISTUD-835,XD-501,3.0,1.0,1.0,8.0,1.0,1.0,valid,appceleratorstudio
TISTUD-993,TIMOB-17527,5.0,8.0,-1.0,8.0,3.0,1.0,valid,appceleratorstudio
TISTUD-844,CLOV-1659,3.0,13.0,-1.0,8.0,13.0,-1.0,valid,appceleratorstudio
TISTUD-869,DM-4476,3.0,13.0,-1.0,8.0,6.0,1.0,valid,appceleratorstudio
TISTUD-875,DM-3903,3.0,8.0,-1.0,8.0,1.0,1.0,valid,appceleratorstudio
TISTUD-878,DURACLOUD-257,5.0,8.0,-1.0,13.0,1.0,1.0,valid,appceleratorstudio
TISTUD-882,TDQ-5386,3.0,5.0,-1.0,8.0,2.0,1.0,valid,appceleratorstudio
TISTUD-886,XD-2789,1.0,3.0,-1.0,2.0,3.0,-1.0,valid,appceleratorstudio
TISTUD-887,USERGRID-711,5.0,3.0,1.0,1.0,2.0,-1.0,valid,appceleratorstudio
TISTUD-891,TIMOB-23165,2.0,5.0,-1.0,8.0,5.0,1.0,valid,appceleratorstudio
TISTUD-894,MESOS-3485,3.0,5.0,-1.0,1.0,3.0,-1.0,valid,appceleratorstudio
TISTUD-905,MULE-8029,3.0,3.0,0.0,8.0,3.0,1.0,tie,appceleratorstudio
TISTUD-907,STUDIO-4462,5.0,13.0,-1.0,13.0,5.0,1.0,valid,appceleratorstudio
TISTUD-909,XD-3575,3.0,3.0,0.0,1.0,5.0,-1.0,tie,appceleratorstudio
TISTUD-913,DM-2123,5.0,13.0,-1.0,8.0,79.0,-1.0,valid,appceleratorstudio
TISTUD-919,DM-3432,2.0,5.0,-1.0,1.0,4.0,-1.0,valid,appceleratorstudio
TISTUD-946,MDL-40057,13.0,5.0,1.0,5.0,40.0,-1.0,valid,appceleratorstudio
TISTUD-929,XD-2644,5.0,8.0,-1.0,5.0,8.0,-1.0,valid,appceleratorstudio
TISTUD-933,XD-2097,3.0,5.0,-1.0,1.0,5.0,-1.0,valid,appceleratorstudio
TISTUD-952,MDL-26244,8.0,1.0,1.0,40.0,8.0,1.0,valid,appceleratorstudio
TISTUD-953,DURACLOUD-357,3.0,3.0,0.0,5.0,4.0,1.0,tie,appceleratorstudio
TISTUD-954,TIMOB-18328,3.0,5.0,-1.0,13.0,8.0,1.0,valid,appceleratorstudio
TISTUD-957,DM-3106,8.0,3.0,1.0,40.0,2.0,1.0,valid,appceleratorstudio
TISTUD-958,MESOS-4170,5.0,2.0,1.0,13.0,1.0,1.0,valid,appceleratorstudio
TISTUD-959,DM-6802,3.0,5.0,-1.0,13.0,15.0,-1.0,valid,appceleratorstudio
TISTUD-960,TESB-2747,5.0,3.0,1.0,13.0,2.0,1.0,valid,appceleratorstudio
TISTUD-961,APSTUD-4949,5.0,3.0,1.0,13.0,8.0,1.0,valid,appceleratorstudio
TISTUD-971,XD-1121,1.0,3.0,-1.0,1.0,2.0,-1.0,valid,appceleratorstudio
TISTUD-989,TDQ-5280,5.0,3.0,1.0,5.0,13.0,-1.0,valid,appceleratorstudio
TISTUD-1002,MDL-39949,8.0,3.0,1.0,8.0,3.0,1.0,valid,appceleratorstudio
TISTUD-1003,XD-3284,2.0,8.0,-1.0,13.0,5.0,1.0,valid,appceleratorstudio
TISTUD-1006,USERGRID-1092,3.0,5.0,-1.0,13.0,5.0,1.0,valid,appceleratorstudio
TISTUD-1009,MULE-9252,3.0,5.0,-1.0,8.0,2.0,1.0,valid,appceleratorstudio
TISTUD-1015,DURACLOUD-432,5.0,3.0,1.0,3.0,1.0,1.0,valid,appceleratorstudio
TISTUD-1016,MESOS-5850,3.0,3.0,0.0,5.0,2.0,1.0,tie,appceleratorstudio
TISTUD-1021,DM-4342,5.0,5.0,0.0,5.0,12.0,-1.0,tie,appceleratorstudio
TISTUD-1274,MDL-41278,3.0,3.0,0.0,5.0,13.0,-1.0,tie,appceleratorstudio
TISTUD-1023,DM-2340,21.0,3.0,1.0,13.0,2.0,1.0,valid,appceleratorstudio
TISTUD-1028,XD-3600,5.0,13.0,-1.0,8.0,2.0,1.0,valid,appceleratorstudio
TISTUD-1032,XD-442,2.0,2.0,0.0,21.0,2.0,1.0,tie,appceleratorstudio
TISTUD-1036,XD-500,5.0,3.0,1.0,8.0,2.0,1.0,valid,appceleratorstudio
TISTUD-1037,JSW-3066,3.0,5.0,-1.0,8.0,5.0,1.0,valid,appceleratorstudio
TISTUD-1038,MULE-8779,3.0,3.0,0.0,8.0,5.0,1.0,tie,appceleratorstudio
TISTUD-1039,TESB-8968,2.0,3.0,-1.0,8.0,1.0,1.0,valid,appceleratorstudio
TISTUD-1048,DM-5182,3.0,5.0,-1.0,5.0,8.0,-1.0,valid,appceleratorstudio
TISTUD-1051,MULE-7374,3.0,2.0,1.0,2.0,1.0,1.0,valid,appceleratorstudio
TISTUD-1052,TDQ-3840,3.0,5.0,-1.0,2.0,8.0,-1.0,valid,appceleratorstudio
TISTUD-1053,DM-4589,5.0,8.0,-1.0,21.0,4.0,1.0,valid,appceleratorstudio
TISTUD-1055,STUDIO-6096,3.0,3.0,0.0,8.0,3.0,1.0,tie,appceleratorstudio
TISTUD-1058,XD-89,3.0,1.0,1.0,13.0,3.0,1.0,valid,appceleratorstudio
TISTUD-1067,TIMOB-18504,3.0,1.0,1.0,5.0,2.0,1.0,valid,appceleratorstudio
TISTUD-1068,DM-4713,8.0,3.0,1.0,20.0,2.0,1.0,valid,appceleratorstudio
TISTUD-1073,MESOS-4505,8.0,5.0,1.0,8.0,3.0,1.0,valid,appceleratorstudio
TISTUD-1076,STUDIO-2383,3.0,3.0,0.0,8.0,1.0,1.0,tie,appceleratorstudio
TISTUD-1077,TESB-10680,3.0,5.0,-1.0,13.0,2.0,1.0,valid,appceleratorstudio
TISTUD-1078,BAM-5674,8.0,5.0,1.0,20.0,1.0,1.0,valid,appceleratorstudio
TISTUD-1079,XD-1961,2.0,3.0,-1.0,8.0,3.0,1.0,valid,appceleratorstudio
TISTUD-1091,TDQ-5396,2.0,3.0,-1.0,13.0,2.0,1.0,valid,appceleratorstudio
TISTUD-1093,XD-2919,5.0,5.0,0.0,13.0,5.0,1.0,tie,appceleratorstudio
TISTUD-1094,XD-3010,3.0,5.0,-1.0,5.0,2.0,1.0,valid,appceleratorstudio
TISTUD-1105,MDL-49533,5.0,13.0,-1.0,8.0,2.0,1.0,valid,appceleratorstudio
TISTUD-1107,TIMOB-7259,5.0,3.0,1.0,13.0,1.0,1.0,valid,appceleratorstudio
TISTUD-1108,DM-4656,3.0,3.0,0.0,3.0,5.0,-1.0,tie,appceleratorstudio
TISTUD-1114,MDL-40705,5.0,2.0,1.0,8.0,3.0,1.0,valid,appceleratorstudio
TISTUD-1115,XD-1931,5.0,3.0,1.0,13.0,1.0,1.0,valid,appceleratorstudio
TISTUD-1116,MDL-41269,5.0,8.0,-1.0,5.0,8.0,-1.0,valid,appceleratorstudio
TISTUD-1118,APSTUD-5022,5.0,2.0,1.0,13.0,5.0,1.0,valid,appceleratorstudio
TISTUD-1125,DM-5792,2.0,3.0,-1.0,5.0,8.0,-1.0,valid,appceleratorstudio
TISTUD-1133,DM-1647,1.0,3.0,-1.0,3.0,4.0,-1.0,valid,appceleratorstudio
TISTUD-1134,XD-2048,2.0,13.0,-1.0,8.0,20.0,-1.0,valid,appceleratorstudio
TISTUD-1136,TDQ-10381,2.0,5.0,-1.0,3.0,13.0,-1.0,valid,appceleratorstudio
TISTUD-1137,USERGRID-707,3.0,3.0,0.0,8.0,2.0,1.0,tie,appceleratorstudio
TISTUD-1139,JSW-6128,5.0,13.0,-1.0,13.0,8.0,1.0,valid,appceleratorstudio
TISTUD-1152,XD-2370,5.0,1.0,1.0,8.0,1.0,1.0,valid,appceleratorstudio
TISTUD-1156,DM-2239,2.0,3.0,-1.0,5.0,20.0,-1.0,valid,appceleratorstudio
TISTUD-1158,DURACLOUD-379,3.0,5.0,-1.0,13.0,1.0,1.0,valid,appceleratorstudio
TISTUD-1162,DM-7103,5.0,8.0,-1.0,13.0,4.0,1.0,valid,appceleratorstudio
TISTUD-1163,XD-1980,5.0,2.0,1.0,20.0,1.0,1.0,valid,appceleratorstudio
TISTUD-1164,MESOS-4289,5.0,5.0,0.0,20.0,5.0,1.0,tie,appceleratorstudio
TISTUD-1165,XD-2900,3.0,8.0,-1.0,20.0,2.0,1.0,valid,appceleratorstudio
TISTUD-1167,DURACLOUD-260,3.0,3.0,0.0,8.0,1.0,1.0,tie,appceleratorstudio
TISTUD-1168,STUDIO-5589,3.0,5.0,-1.0,5.0,3.0,1.0,valid,appceleratorstudio
TISTUD-1169,XD-1364,5.0,5.0,0.0,3.0,5.0,-1.0,tie,appceleratorstudio
TISTUD-1171,DM-6884,2.0,8.0,-1.0,5.0,4.0,1.0,valid,appceleratorstudio
TISTUD-1175,DM-4553,3.0,5.0,-1.0,8.0,6.0,1.0,valid,appceleratorstudio
TISTUD-1179,STUDIO-5193,3.0,3.0,0.0,8.0,5.0,1.0,tie,appceleratorstudio
TISTUD-1180,TIMOB-18699,3.0,5.0,-1.0,5.0,8.0,-1.0,valid,appceleratorstudio
